Qlib代码,Tushare代码,ETF名称,ETF类型,资产类别,规模分层,规模(亿元),交易所,管理人,上市日期
SH510300,510300.SH,沪深300ETF华泰柏瑞,宽基指数ETF,股票资产,超大规模 (≥1000亿),2050.17320407,SH,华泰柏瑞基金,20120528
SH510310,510310.SH,沪深300ETF易方达,宽基指数ETF,股票资产,超大规模 (≥1000亿),1437.1718487,SH,易方达基金,20130325
SH518880,518880.SH,黄金ETF华安,商品ETF,商品资产,超大规模 (≥1000亿),1190.7232373400002,SH,华安基金,20130729
SZ159919,159919.SZ,沪深300ETF嘉实,宽基指数ETF,股票资产,大规模 (500-1000亿),964.0032805299999,SZ,嘉实基金,20120528
SH510330,510330.SH,沪深300ETF华夏,宽基指数ETF,股票资产,大规模 (500-1000亿),948.4713749299999,SH,华夏基金,20130116
SH511360,511360.SH,短融ETF海富通,其他ETF,其他资产,大规模 (500-1000亿),944.6816167300001,SH,海富通基金,20200925
SH511880,511880.SH,银华日利ETF,其他ETF,其他资产,大规模 (500-1000亿),835.13745887,SH,银华基金,20130418
SH510500,510500.SH,中证500ETF南方,宽基指数ETF,股票资产,大规模 (500-1000亿),809.19388944,SH,南方基金,20130315
SH588000,588000.SH,科创50ETF华夏,宽基指数ETF,股票资产,大规模 (500-1000亿),717.2865370000001,SH,华夏基金,20201116
SH510050,510050.SH,上证50ETF华夏,宽基指数ETF,股票资产,大规模 (500-1000亿),683.01676265,SH,华夏基金,20050223
SZ159792,159792.SZ,港股通互联网ETF富国,国际ETF,海外资产,大规模 (500-1000亿),644.54382251,SZ,富国基金,20210928
SH511380,511380.SH,可转债ETF博时,债券ETF,债券资产,大规模 (500-1000亿),630.89859276,SH,博时基金,20200407
SH513180,513180.SH,恒生科技ETF华夏,行业主题ETF,股票资产,大规模 (500-1000亿),541.39657555,SH,华夏基金,20210525
SH512880,512880.SH,证券ETF国泰,宽基指数ETF,股票资产,大规模 (500-1000亿),529.80876429,SH,国泰基金,20160808
SZ159915,159915.SZ,创业板ETF易方达,宽基指数ETF,股票资产,大规模 (500-1000亿),517.6614879800001,SZ,易方达基金,20111209
SH513130,513130.SH,恒生科技ETF华泰柏瑞,行业主题ETF,股票资产,中等规模 (100-500亿),498.59100202,SH,华泰柏瑞基金,20210601
SZ159937,159937.SZ,黄金ETF博时,商品ETF,商品资产,中等规模 (100-500亿),493.81915614,SZ,博时基金,20140901
SH511220,511220.SH,城投债ETF海富通,债券ETF,债券资产,中等规模 (100-500亿),466.40543144,SH,海富通基金,20141216
SZ159934,159934.SZ,黄金ETF易方达,商品ETF,商品资产,中等规模 (100-500亿),434.78139861000005,SZ,易方达基金,20131216
SH518800,518800.SH,黄金ETF国泰,商品ETF,商品资产,中等规模 (100-500亿),424.61064433,SH,国泰基金,20130729
SH588200,588200.SH,科创芯片ETF嘉实,行业主题ETF,股票资产,中等规模 (100-500亿),403.04603813,SH,嘉实基金,20221026
SH588080,588080.SH,科创50ETF易方达,宽基指数ETF,股票资产,中等规模 (100-500亿),396.55674419999997,SH,易方达基金,20201116
SH511030,511030.SH,公司债ETF平安,债券ETF,债券资产,中等规模 (100-500亿),376.02982436,SH,平安基金,20190322
SH563360,563360.SH,A500ETF华泰柏瑞,其他ETF,其他资产,中等规模 (100-500亿),367.1111815,SH,华泰柏瑞基金,20241015
SH511520,511520.SH,政金债ETF富国,债券ETF,债券资产,中等规模 (100-500亿),355.80340331,SH,富国基金,20221025
SH513330,513330.SH,恒生互联网ETF华夏,行业主题ETF,股票资产,中等规模 (100-500亿),355.37063908,SH,华夏基金,20210208
SH512000,512000.SH,券商ETF华宝,宽基指数ETF,股票资产,中等规模 (100-500亿),354.98464177,SH,华宝基金,20160914
SZ159352,159352.SZ,A500ETF南方,其他ETF,其他资产,中等规模 (100-500亿),341.21438461,SZ,南方基金,20241015
SZ159326,159326.SZ,电网设备ETF华夏,其他ETF,其他资产,中等规模 (100-500亿),321.54298449,SZ,华夏基金,20240909
SH513010,513010.SH,恒生科技ETF易方达,行业主题ETF,股票资产,中等规模 (100-500亿),320.80519183999996,SH,易方达基金,20210525
SZ159636,159636.SZ,港股通科技30ETF工银,行业主题ETF,股票资产,中等规模 (100-500亿),314.30615815,SZ,工银瑞信基金,20220720
SZ159570,159570.SZ,港股通创新药ETF汇添富,国际ETF,海外资产,中等规模 (100-500亿),307.02941937,SZ,汇添富基金,20240122
SH512890,512890.SH,红利低波ETF华泰柏瑞,宽基指数ETF,股票资产,中等规模 (100-500亿),304.50686542,SH,华泰柏瑞基金,20190118
SH512400,512400.SH,有色金属ETF南方,行业主题ETF,股票资产,中等规模 (100-500亿),302.07293644,SH,南方基金,20170901
SZ159338,159338.SZ,中证A500ETF国泰,其他ETF,其他资产,中等规模 (100-500亿),287.80467129,SZ,国泰基金,20241015
SZ159870,159870.SZ,化工ETF鹏华,行业主题ETF,股票资产,中等规模 (100-500亿),281.69476860000003,SZ,鹏华基金,20210303
SH512170,512170.SH,医疗ETF华宝,行业主题ETF,股票资产,中等规模 (100-500亿),275.66226903,SH,华宝基金,20190617
SH513120,513120.SH,港股创新药ETF广发,国际ETF,海外资产,中等规模 (100-500亿),272.15622676,SH,广发基金,20220712
SH513750,513750.SH,港股通非银ETF广发,行业主题ETF,股票资产,中等规模 (100-500亿),265.85155132,SH,广发基金,20231127
SZ159600,159600.SZ,科创债ETF嘉实,行业主题ETF,股票资产,中等规模 (100-500亿),264.01189192,SZ,嘉实基金,20250717
SZ159361,159361.SZ,A500ETF易方达,其他ETF,其他资产,中等规模 (100-500亿),255.62761561,SZ,易方达基金,20241119
SH512050,512050.SH,A500ETF华夏,其他ETF,其他资产,中等规模 (100-500亿),252.32826496,SH,华夏基金,20241115
SZ159995,159995.SZ,芯片ETF华夏,行业主题ETF,股票资产,中等规模 (100-500亿),247.50680380000003,SZ,华夏基金,20200210
SH512100,512100.SH,中证1000ETF南方,宽基指数ETF,股票资产,中等规模 (100-500亿),247.16321825,SH,南方基金,20161104
SZ159819,159819.SZ,人工智能ETF易方达,其他ETF,其他资产,中等规模 (100-500亿),236.84059161,SZ,易方达基金,20200923
SH511090,511090.SH,30年国债ETF鹏扬,债券ETF,债券资产,中等规模 (100-500亿),232.37498681,SH,鹏扬基金,20230613
SH513090,513090.SH,香港证券ETF易方达,行业主题ETF,股票资产,中等规模 (100-500亿),223.06200883,SH,易方达基金,20200326
SH511110,511110.SH,公司债ETF易方达,债券ETF,债券资产,中等规模 (100-500亿),222.56112614000003,SH,易方达基金,20250124
SH510180,510180.SH,上证180ETF华安,其他ETF,其他资产,中等规模 (100-500亿),221.06019977000003,SH,华安基金,20060518
SZ159949,159949.SZ,创业板50ETF华安,宽基指数ETF,股票资产,中等规模 (100-500亿),216.86148434,SZ,华安基金,20160722
SH562500,562500.SH,机器人ETF华夏,其他ETF,其他资产,中等规模 (100-500亿),216.63554054,SH,华夏基金,20211229
SZ159206,159206.SZ,卫星ETF永赢,行业主题ETF,股票资产,中等规模 (100-500亿),215.44915587,SZ,永赢基金,20250314
SZ159516,159516.SZ,半导体设备ETF国泰,行业主题ETF,股票资产,中等规模 (100-500亿),211.86335888999997,SZ,国泰基金,20230727
SZ159112,159112.SZ,科创债ETF银华,行业主题ETF,股票资产,中等规模 (100-500亿),208.72785788,SZ,银华基金,20250924
