ts_code,extname,etf_type,size_yi,exchange,qlib_code
510300.SH,沪深300ETF华泰柏瑞,宽基指数ETF,2050.17320407,SH,SH510300
510310.SH,沪深300ETF易方达,宽基指数ETF,1437.1718487,SH,SH510310
518880.SH,黄金ETF华安,黄金ETF,1190.7232373400002,SH,SH518880
159919.SZ,沪深300ETF嘉实,宽基指数ETF,964.0032805299999,SZ,SZ159919
510330.SH,沪深300ETF华夏,宽基指数ETF,948.4713749299999,SH,SH510330
511360.SH,短融ETF海富通,货币ETF,944.6816167300001,SH,SH511360
511880.SH,银华日利ETF,货币ETF,835.13745887,SH,SH511880
510500.SH,中证500ETF南方,宽基指数ETF,809.19388944,SH,SH510500
588000.SH,科创50ETF华夏,宽基指数ETF,717.2865370000001,SH,SH588000
510050.SH,上证50ETF华夏,宽基指数ETF,683.01676265,SH,SH510050
159792.SZ,港股通互联网ETF富国,港股ETF,644.54382251,SZ,SZ159792
511380.SH,可转债ETF博时,可转债ETF,630.89859276,SH,SH511380
513180.SH,恒生科技ETF华夏,科技电子ETF,541.39657555,SH,SH513180
512880.SH,证券ETF国泰,宽基指数ETF,529.80876429,SH,SH512880
159915.SZ,创业板ETF易方达,宽基指数ETF,517.6614879800001,SZ,SZ159915
513130.SH,恒生科技ETF华泰柏瑞,科技电子ETF,498.59100202,SH,SH513130
159937.SZ,黄金ETF博时,黄金ETF,493.81915614,SZ,SZ159937
511220.SH,城投债ETF海富通,城投债ETF,466.40543144,SH,SH511220
159934.SZ,黄金ETF易方达,黄金ETF,434.78139861000005,SZ,SZ159934
518800.SH,黄金ETF国泰,黄金ETF,424.61064433,SH,SH518800
588200.SH,科创芯片ETF嘉实,科技电子ETF,403.04603813,SH,SH588200
588080.SH,科创50ETF易方达,宽基指数ETF,396.55674419999997,SH,SH588080
511030.SH,公司债ETF平安,信用债ETF,376.02982436,SH,SH511030
563360.SH,A500ETF华泰柏瑞,其他ETF,367.1111815,SH,SH563360
511520.SH,政金债ETF富国,金融ETF,355.80340331,SH,SH511520
513330.SH,恒生互联网ETF华夏,科技电子ETF,355.37063908,SH,SH513330
512000.SH,券商ETF华宝,宽基指数ETF,354.98464177,SH,SH512000
159352.SZ,A500ETF南方,其他ETF,341.21438461,SZ,SZ159352
513010.SH,恒生科技ETF易方达,科技电子ETF,320.80519183999996,SH,SH513010
159636.SZ,港股通科技30ETF工银,科技电子ETF,314.30615815,SZ,SZ159636
159570.SZ,港股通创新药ETF汇添富,港股ETF,307.02941937,SZ,SZ159570
512890.SH,红利低波ETF华泰柏瑞,红利价值ETF,304.50686542,SH,SH512890
512400.SH,有色金属ETF南方,其他行业ETF,302.07293644,SH,SH512400
159870.SZ,化工ETF鹏华,其他行业ETF,281.69476860000003,SZ,SZ159870
512170.SH,医疗ETF华宝,医药医疗ETF,275.66226903,SH,SH512170
513120.SH,港股创新药ETF广发,港股ETF,272.15622676,SH,SH513120
513750.SH,港股通非银ETF广发,金融ETF,265.85155132,SH,SH513750
159600.SZ,科创债ETF嘉实,科技电子ETF,264.01189192,SZ,SZ159600
159995.SZ,芯片ETF华夏,科技电子ETF,247.50680380000003,SZ,SZ159995
512100.SH,中证1000ETF南方,宽基指数ETF,247.16321825,SH,SH512100
511090.SH,30年国债ETF鹏扬,国债ETF,232.37498681,SH,SH511090
513090.SH,香港证券ETF易方达,金融ETF,223.06200883,SH,SH513090
511110.SH,公司债ETF易方达,信用债ETF,222.56112614000003,SH,SH511110
159949.SZ,创业板50ETF华安,宽基指数ETF,216.86148434,SZ,SZ159949
159206.SZ,卫星ETF永赢,其他行业ETF,215.44915587,SZ,SZ159206
159516.SZ,半导体设备ETF国泰,科技电子ETF,211.86335888999997,SZ,SZ159516
159112.SZ,科创债ETF银华,科技电子ETF,208.72785788,SZ,SZ159112
159201.SZ,自由现金流ETF华夏,货币ETF,203.9101218,SZ,SZ159201
512480.SH,半导体ETF国联安,宽基指数ETF,203.18522864000002,SH,SH512480
159740.SZ,恒生科技ETF大成,科技电子ETF,200.69163304,SZ,SZ159740
513980.SH,港股科技ETF景顺,科技电子ETF,200.47216622,SH,SH513980
159928.SZ,消费ETF,消费ETF,189.85426496,SZ,SZ159928
511070.SH,公司债ETF南方,信用债ETF,185.68803444,SH,SH511070
518850.SH,黄金ETF华夏,黄金ETF,182.37476155000002,SH,SH518850
515880.SH,通信ETF国泰,宽基指数ETF,180.23701562000002,SH,SH515880
510880.SH,红利ETF华泰柏瑞,红利价值ETF,177.23913166,SH,SH510880
512010.SH,医药ETF易方达,宽基指数ETF,171.36374333,SH,SH512010
511260.SH,十年国债ETF国泰,国债ETF,169.15726328,SH,SH511260
515450.SH,红利低波50ETF南方,宽基指数ETF,168.58426232,SH,SH515450
513630.SH,港股低波红利ETF摩根,红利价值ETF,161.88962604,SH,SH513630
512500.SH,中证500ETF华夏,宽基指数ETF,152.43543814999998,SH,SH512500
511200.SH,信用债ETF华夏,信用债ETF,148.27534183,SH,SH511200
512070.SH,证券保险ETF易方达,宽基指数ETF,147.01387623,SH,SH512070
511130.SH,30年国债ETF博时,国债ETF,142.83075703,SH,SH511130
516650.SH,有色金属ETF华夏,其他行业ETF,140.28235325,SH,SH516650
159922.SZ,中证500ETF嘉实,宽基指数ETF,139.42767690000002,SZ,SZ159922
159755.SZ,电池ETF广发,新能源ETF,137.47327282,SZ,SZ159755
517520.SH,黄金股ETF永赢,黄金ETF,135.72094536,SH,SH517520
515180.SH,红利ETF易方达,红利价值ETF,135.02767450000002,SH,SH515180
511180.SH,可转债ETF海富通,可转债ETF,125.54878393999999,SH,SH511180
159920.SZ,恒生ETF华夏,港股ETF,114.03698036,SZ,SZ159920
511100.SH,国债ETF华夏,国债ETF,111.13433613,SH,SH511100
513770.SH,港股互联网ETF华宝,港股ETF,110.35400345000001,SH,SH513770
159397.SZ,信用债ETF广发,信用债ETF,109.33018451000001,SZ,SZ159397
159395.SZ,信用债ETF大成,信用债ETF,109.0851905,SZ,SZ159395
512800.SH,银行ETF华宝,金融ETF,107.57834831999999,SH,SH512800
560860.SH,工业有色ETF万家,其他行业ETF,106.68794688999999,SH,SH560860
159952.SZ,创业板ETF广发,宽基指数ETF,105.82374214999999,SZ,SZ159952
159841.SZ,证券ETF天弘,宽基指数ETF,105.3037735,SZ,SZ159841
512660.SH,军工ETF国泰,其他行业ETF,101.7750888,SH,SH512660
159842.SZ,券商ETF银华,宽基指数ETF,101.20761621,SZ,SZ159842
515790.SH,光伏ETF华泰柏瑞,新能源ETF,99.59192272,SH,SH515790
515050.SH,通信ETF华夏,其他行业ETF,98.04580655000001,SH,SH515050
512710.SH,军工龙头ETF富国,其他行业ETF,97.84016015,SH,SH512710
159816.SZ,0-4年地方债ETF鹏华,其他债券ETF,96.60518247,SZ,SZ159816
515080.SH,中证红利ETF招商,红利价值ETF,93.74465781,SH,SH515080
588050.SH,科创50ETF工银,宽基指数ETF,90.44165291,SH,SH588050
513040.SH,港股通互联网ETF易方达,港股ETF,88.73631155,SH,SH513040
515330.SH,沪深300ETF天弘,宽基指数ETF,88.35289356,SH,SH515330
515220.SH,煤炭ETF国泰,其他行业ETF,86.10109071,SH,SH515220
159567.SZ,港股创新药ETF银华,港股ETF,82.24458856,SZ,SZ159567
159566.SZ,储能电池ETF易方达,新能源ETF,80.66749772,SZ,SZ159566
563020.SH,红利低波ETF易方达,红利价值ETF,80.64453597,SH,SH563020
516160.SH,新能源ETF南方,新能源ETF,78.60761398999999,SH,SH516160
516120.SH,化工ETF富国,其他行业ETF,76.49061166,SH,SH516120
159545.SZ,恒生红利低波ETF易方达,红利价值ETF,73.42495668000001,SZ,SZ159545
159796.SZ,电池ETF汇添富,新能源ETF,72.91000824,SZ,SZ159796
159980.SZ,有色ETF大成,其他行业ETF,67.80888519,SZ,SZ159980
159157.SZ,有色金属ETF天弘,其他行业ETF,67.31833358,SZ,SZ159157
159691.SZ,港股红利ETF工银,红利价值ETF,66.42882761,SZ,SZ159691
513060.SH,恒生医疗ETF博时,医药医疗ETF,64.93320981,SH,SH513060
159217.SZ,港股通创新药ETF工银,港股ETF,62.92749058,SZ,SZ159217
159892.SZ,恒生医药ETF华夏,医药医疗ETF,62.799110129999995,SZ,SZ159892
511580.SH,国债政金债ETF招商,金融ETF,58.49323648,SH,SH511580
516020.SH,化工ETF华宝,其他行业ETF,57.31094397,SH,SH516020
159399.SZ,现金流ETF国泰,货币ETF,56.06350111,SZ,SZ159399
512980.SH,传媒ETF广发,其他行业ETF,55.63236800000001,SH,SH512980
512680.SH,军工ETF广发,其他行业ETF,55.499355550000004,SH,SH512680
511270.SH,10年地方债ETF海富通,其他债券ETF,54.27018643,SH,SH511270
515030.SH,新能源车ETF华夏,新能源ETF,53.96311986999999,SH,SH515030
159650.SZ,国开债ETF博时,其他债券ETF,51.97346235,SZ,SZ159650
159736.SZ,食品饮料ETF天弘,消费ETF,50.606934100000004,SZ,SZ159736
515290.SH,银行ETF天弘,金融ETF,47.78819912,SH,SH515290
515170.SH,食品饮料ETF华夏,消费ETF,46.9915362,SH,SH515170
159652.SZ,有色ETF汇添富,其他行业ETF,43.75908866,SZ,SZ159652
561910.SH,电池ETF招商,新能源ETF,43.74900938,SH,SH561910
510230.SH,金融ETF国泰,金融ETF,42.390504,SH,SH510230
159232.SZ,自由现金流ETF南方,货币ETF,41.441527470000004,SZ,SZ159232
511010.SH,国债ETF国泰,国债ETF,40.298433179999996,SH,SH511010
159993.SZ,证券ETF鹏华,金融ETF,39.46549659,SZ,SZ159993
159859.SZ,生物医药ETF天弘,医药医疗ETF,38.543044050000006,SZ,SZ159859
