ts_code,extname,index_code,index_name,exchange,mgr_name,list_date,etf_name,total_share,total_size,size_yi,etf_type
510300.SH,沪深300ETF华泰柏瑞,000300.SH,沪深300指数,SH,华泰柏瑞基金,20120528,沪深300ETF华泰柏瑞,4325898.77,20501732.0407,2050.17320407,宽基指数ETF
510310.SH,沪深300ETF易方达,000300.SH,沪深300指数,SH,易方达基金,20130325,沪深300ETF易方达,3133414.4,14371718.487,1437.1718487,宽基指数ETF
518880.SH,黄金ETF华安,Au99.99.SGE,黄金9999,SH,华安基金,20130729,黄金ETF华安,1185684.08,11907232.3734,1190.7232373400002,黄金ETF
159919.SZ,沪深300ETF嘉实,000300.SH,沪深300指数,SZ,嘉实基金,20120528,沪深300ETF嘉实,1951581.6676,9640032.8053,964.0032805299999,宽基指数ETF
510330.SH,沪深300ETF华夏,000300.SH,沪深300指数,SH,华夏基金,20130116,沪深300ETF华夏,1922784.98,9484713.7493,948.4713749299999,宽基指数ETF
511360.SH,短融ETF海富通,H11014.CSI,中证短融指数,SH,海富通基金,20200925,短融ETF海富通,83345.46,9446816.1673,944.6816167300001,货币ETF
511880.SH,银华日利ETF,,,SH,银华基金,20130418,银华日利ETF,83211.19,8351374.5887,835.13745887,货币ETF
510500.SH,中证500ETF南方,000905.SH,中证小盘500指数,SH,南方基金,20130315,中证500ETF南方,976296.86,8091938.8944,809.19388944,宽基指数ETF
588000.SH,科创50ETF华夏,000688.SH,上证科创板50成份指数,SH,华夏基金,20201116,科创50ETF华夏,4782866.82,7172865.37,717.2865370000001,宽基指数ETF
510050.SH,上证50ETF华夏,000016.SH,上证50指数,SH,华夏基金,20050223,上证50ETF华夏,2288316.68,6830167.6265,683.01676265,宽基指数ETF
159792.SZ,港股通互联网ETF富国,931637.CSI,中证港股通互联网指数,SZ,富国基金,20210928,港股通互联网ETF富国,8916085.5237,6445438.2251,644.54382251,港股ETF
511380.SH,可转债ETF博时,931078.CSI,中证可转债及可交换债券指数,SH,博时基金,20200407,可转债ETF博时,440808.67,6308985.9276,630.89859276,可转债ETF
513180.SH,恒生科技ETF华夏,HSTECH.HI,恒生科技指数,SH,华夏基金,20210525,恒生科技ETF华夏,8322775.95,5413965.7555,541.39657555,科技电子ETF
512880.SH,证券ETF国泰,399975.SZ,中证全指证券公司指数,SH,国泰基金,20160808,证券ETF国泰,4921129.15,5298087.6429,529.80876429,宽基指数ETF
159915.SZ,创业板ETF易方达,399006.SZ,创业板指数,SZ,易方达基金,20111209,创业板ETF易方达,1409945.4936,5176614.8798,517.6614879800001,宽基指数ETF
513130.SH,恒生科技ETF华泰柏瑞,HSTECH.HI,恒生科技指数,SH,华泰柏瑞基金,20210601,恒生科技ETF华泰柏瑞,7800234.7,4985910.0202,498.59100202,科技电子ETF
159937.SZ,黄金ETF博时,Au99.99.SGE,黄金9999,SZ,博时基金,20140901,黄金ETF博时,492912.1977,4938191.5614,493.81915614,黄金ETF
511220.SH,城投债ETF海富通,H11098.CSI,上证城投债指数,SH,海富通基金,20141216,城投债ETF海富通,451698.14,4664054.3144,466.40543144,城投债ETF
159934.SZ,黄金ETF易方达,Au99.99.SGE,黄金9999,SZ,易方达基金,20131216,黄金ETF易方达,414420.8998,4347813.9861,434.78139861000005,黄金ETF
518800.SH,黄金ETF国泰,Au99.99.SGE,黄金9999,SH,国泰基金,20130729,黄金ETF国泰,403307.92,4246106.4433,424.61064433,黄金ETF
588200.SH,科创芯片ETF嘉实,000685.SH,上证科创板芯片指数,SH,嘉实基金,20221026,科创芯片ETF嘉实,1491989.48,4030460.3813,403.04603813,科技电子ETF
588080.SH,科创50ETF易方达,000688.SH,上证科创板50成份指数,SH,易方达基金,20201116,科创50ETF易方达,2727162.81,3965567.442,396.55674419999997,宽基指数ETF
511030.SH,公司债ETF平安,CBC00703.OTH,中债-中高等级公司债利差因子指数(全价),SH,平安基金,20190322,公司债ETF平安,34951.07,3760298.2436,376.02982436,信用债ETF
563360.SH,A500ETF华泰柏瑞,000510.SH,中证A500指数,SH,华泰柏瑞基金,20241015,A500ETF华泰柏瑞,2778198.74,3671111.815,367.1111815,其他ETF
511520.SH,政金债ETF富国,CBA08203.OTH,中债-7-10年政策性金融债指数(全价),SH,富国基金,20221025,政金债ETF富国,30408.65,3558034.0331,355.80340331,金融ETF
513330.SH,恒生互联网ETF华夏,HSIII.HI,恒生互联网科技业指数,SH,华夏基金,20210208,恒生互联网ETF华夏,7948348.0,3553706.3908,355.37063908,科技电子ETF
512000.SH,券商ETF华宝,399975.SZ,中证全指证券公司指数,SH,华宝基金,20160914,券商ETF华宝,6898263.54,3549846.4177,354.98464177,宽基指数ETF
159352.SZ,A500ETF南方,000510.SH,中证A500指数,SZ,南方基金,20241015,A500ETF南方,2622910.1746,3412143.8461,341.21438461,其他ETF
513010.SH,恒生科技ETF易方达,HSTECH.HI,恒生科技指数,SH,易方达基金,20210525,恒生科技ETF易方达,4804630.7,3208051.9184,320.80519183999996,科技电子ETF
159636.SZ,港股通科技30ETF工银,987008.SZ,国证港股通科技指数,SZ,工银瑞信基金,20220720,港股通科技30ETF工银,5303850.1206,3143061.5815,314.30615815,科技电子ETF
159570.SZ,港股通创新药ETF汇添富,987018.SZ,国证港股通创新药指数,SZ,汇添富基金,20240122,港股通创新药ETF,1796859.7142,3070294.1937,307.02941937,港股ETF
512890.SH,红利低波ETF华泰柏瑞,H30269.CSI,中证红利低波动指数,SH,华泰柏瑞基金,20190118,红利低波ETF华泰柏瑞,2568811.08,3045068.6542,304.50686542,红利价值ETF
512400.SH,有色金属ETF南方,000819.SH,中证申万有色金属指数,SH,南方基金,20170901,有色金属ETF南方,1393453.9,3020729.3644,302.07293644,其他行业ETF
